1	1.0180578231811523
2	0.702133059501648
3	0.8006546497344971
4	0.7554677724838257
5	0.7261958718299866
6	0.684493899345398
7	0.7229130268096924
8	0.7229397296905518
9	0.6792714595794678
10	0.6678262948989868
11	0.6376898884773254
12	0.6937161087989807
13	0.6267300248146057
14	0.7270932793617249
15	0.7341051697731018
16	0.6978050470352173
17	0.6159425377845764
18	0.6287010312080383
19	0.6552484631538391
20	0.6906989812850952
21	0.6552273035049438
22	0.7248730063438416
23	0.6859299540519714
24	0.7024665474891663
25	0.6970338821411133
26	0.6748731136322021
27	0.669835090637207
28	0.7199046611785889
29	0.7045707702636719
30	0.6246534585952759
31	0.6796866059303284
32	0.712964653968811
33	0.6121959090232849
34	0.7389938831329346
35	0.7091907858848572
36	0.6937379240989685
37	0.7032170295715332
38	0.7141275405883789
39	0.6246801614761353
