1	0.7578272819519043
2	0.7999069690704346
3	0.8031935095787048
4	0.681691586971283
5	0.7121381163597107
6	0.7427651882171631
7	0.6741856932640076
8	0.7115064859390259
9	0.6659684777259827
10	0.7458406090736389
11	0.6508029699325562
12	0.6464335322380066
13	0.7096243500709534
14	0.6649473905563354
15	0.759598433971405
16	0.722570538520813
17	0.697807788848877
18	0.6609575152397156
19	0.7109946012496948
20	0.6817384958267212
21	0.6701485514640808
22	0.692404568195343
23	0.7301046252250671
24	0.6514358520507812
25	0.6761046648025513
26	0.7184135913848877
27	0.6665042638778687
28	0.6651604771614075
29	0.654050350189209
30	0.6713438630104065
31	0.6538098454475403
32	0.6563214659690857
33	0.746804416179657
34	0.6789728999137878
35	0.7231866717338562
36	0.7203543186187744
37	0.6678086519241333
38	0.6756129264831543
39	0.6382385492324829
